Date,S&P 500,Bitcoin,Emerging Market Index
04/2024,-0.00923806,-0.069596193,0.006451304
03/2024,0.031018765,0.14418275,0.021803436
02/2024,0.051720615,0.459912039,0.046259479
01/2024,0.015895745,-0.000423161,-0.046828296
12/2023,0.044229169,0.126569204,0.037118833
11/2023,0.089179265,0.093009119,0.078562063
10/2023,-0.021979688,0.277977137,-0.039442474
09/2023,-0.048719291,0.033255609,-0.028102782
08/2023,-0.017716432,-0.102230611,-0.06359668
07/2023,0.031138914,-0.041415836,0.058040587
06/2023,0.064727513,0.125263742,0.032289026
05/2023,0.002482324,-0.080496937,-0.018955018